ID,Idade,Gênero,Estado Civil,Região CEP,Frequência,Faixa Preço,Tipos Vinho,Origens,Comunicação
cmg464u2f0000l5042xdvb7zv,"26 – 35 anos","Prefiro não informar","Casado(a)/em união estável",23,"Quinzenal","R$ 41 – R$ 50","Rosé;Tinto","Chile;França;Portugal","Sim, pode me chamar no WhatsApp"
cmg4736lo0000l604x9zer5gf,"46 – 60 anos","Feminino","Casado(a)/em união estável",13,"Duas vezes por semana","R$ 81 – R$ 100","Branco;Espumante;Rosé;Tinto","Argentina;Brasil;Chile;Espanha;França;Portugal","Sim, pode me chamar no WhatsApp"
cmg48ks0h0000k104faphmeyb,"46 – 60 anos","Masculino","Casado(a)/em união estável",13,"Uma vez por semana","R$ 51 – R$ 80","Branco;Espumante;Rosé;Tinto","Argentina;Brasil;Chile;Portugal","Sim, pode me chamar no WhatsApp"
cmg5cnnj60000i904kcshjy54,"46 – 60 anos","Masculino","Casado(a)/em união estável",04,"Raramente","R$ 51 – R$ 80","Branco;Espumante;Rosé","França;Chile;Argentina;Brasil;Portugal","Sim, pode me chamar no WhatsApp"
cmg5cpnim0001i9048ar9nfo6,"46 – 60 anos","Masculino","Casado(a)/em união estável",03,"Uma vez por semana","R$ 81 – R$ 100","Tinto","Argentina;Espanha;França;Brasil;Uruguai","Sim, pode me chamar no WhatsApp"
cmg5cq4hz0002i9048idz87xy,"46 – 60 anos","Feminino","Viúvo(a)",04,"Quinzenal","Até R$ 40","Rosé","Chile;Espanha;Argentina","Sim, pode me chamar no WhatsApp"
cmg5cr4fk0003i904obqi742d,"46 – 60 anos","Masculino","Casado(a)/em união estável",04,"Uma vez por semana","R$ 51 – R$ 80","Tinto","Argentina","Sim, pode me chamar no WhatsApp"
cmg5cwdty0004i904r8p0fo7k,"36 – 45 anos","Masculino","Casado(a)/em união estável",05,"Raramente","R$ 51 – R$ 80","Tinto","Argentina;Brasil;Chile;Uruguai","Não, obrigado(a)"
cmg5d3p470005i904iea9nxb9,"Acima de 60 anos","Masculino","Casado(a)/em união estável",05,"Uma vez por semana","R$ 41 – R$ 50","Branco","Chile;França","Sim, prefiro por e-mail"
cmg5d4epn0006i9048zlwngau,"46 – 60 anos","Feminino","Casado(a)/em união estável",05,"Uma vez por semana","R$ 81 – R$ 100","Espumante;Tinto","Chile","Sim, prefiro por e-mail"
